date,keyword,country_code,interest_score,z_score
2020-09-01,criptomonedas,PE,20,-0.833482290031143
2020-09-01,fintech,PE,80,0.84630711539768
2020-09-01,tarjeta virtual,PE,28,-0.917130375828124
2020-10-01,Plin,CL,51,0.166748697848208
2020-10-01,Yape,CL,13,-1.01574278853658
2020-10-01,criptomonedas,CL,12,-0.981426026986521
2020-10-01,fintech,CL,32,-0.923821155656177
2020-10-01,tarjeta virtual,CL,61,1.07542034970408
2020-10-01,Plin,CO,74,0.964048094131535
2020-10-01,Yape,CO,18,-0.61350180784365
2020-10-01,billetera digital,CO,9,-1.08745860781389
2020-10-01,criptomonedas,CO,14,-0.830721968115869
2020-10-01,fintech,CO,54,-0.132875026485569
2020-10-01,Plin,MX,46,0.215120895055477
2020-10-01,criptomonedas,MX,15,-1.06343765856736
2020-10-01,fintech,MX,54,-1.35092524568205
2020-10-01,pagos digitales,MX,32,-0.871449952304762
2020-10-01,tarjeta virtual,MX,60,-0.573196259103865
2020-10-01,Plin,PE,28,-0.476931168157526
2020-10-01,Yape,PE,23,-0.787533513340174
2020-10-01,billetera digital,PE,1,-0.255207395304429
2020-10-01,criptomonedas,PE,16,-1.0288087978073
2020-10-01,fintech,PE,65,-0.312075748802894
2020-10-01,tarjeta virtual,PE,33,-0.716679724823773
2020-11-01,Plin,CL,55,0.354020312354656
2020-11-01,Yape,CL,20,-0.683817012430032
2020-11-01,criptomonedas,CL,16,-0.79605966225168
2020-11-01,fintech,CL,29,-1.07401925000562
2020-11-01,tarjeta virtual,CL,59,0.950211919834224
2020-11-01,Plin,CO,71,0.834124074060885
2020-11-01,Yape,CO,15,-0.745945126162255
2020-11-01,criptomonedas,CO,14,-0.830721968115869
2020-11-01,fintech,CO,43,-1.03710084231533
2020-11-01,Plin,MX,44,0.122745451884596
2020-11-01,Yape,MX,21,-0.693004317055679
2020-11-01,criptomonedas,MX,17,-0.965108400713762
2020-11-01,fintech,MX,55,-1.27196804557413
2020-11-01,pagos digitales,MX,34,-0.762331862222005
2020-11-01,tarjeta virtual,MX,70,-0.00698073928543253
2020-11-01,Plin,PE,28,-0.476931168157526
2020-11-01,Yape,PE,56,0.341061509644049
2020-11-01,billetera digital,PE,100,6.77050207542926
2020-11-01,criptomonedas,PE,19,-0.882313916975182
2020-11-01,fintech,PE,46,-1.77936071012362
2020-11-01,tarjeta virtual,PE,27,-0.957220506028994
2020-12-01,Plin,CL,52,0.21356660147482
2020-12-01,Yape,CL,15,-0.920906852506138
2020-12-01,criptomonedas,CL,18,-0.703376479884259
2020-12-01,fintech,CL,21,-1.47454750160414
2020-12-01,tarjeta virtual,CL,67,1.45104563931363
2020-12-01,Plin,CO,70,0.790816067370668
2020-12-01,Yape,CO,15,-0.745945126162255
2020-12-01,criptomonedas,CO,15,-0.778533754972617
2020-12-01,fintech,CO,32,-1.9413266581451
2020-12-01,Plin,MX,44,0.122745451884596
2020-12-01,Yape,MX,11,-1.12332210429136
2020-12-01,criptomonedas,MX,27,-0.473462111445761
2020-12-01,fintech,MX,56,-1.19301084546622
2020-12-01,pagos digitales,MX,40,-0.434977591973732
2020-12-01,tarjeta virtual,MX,100,1.69166582016987
2020-12-01,Plin,PE,31,-0.3240059473281
2020-12-01,Yape,PE,36,-0.342935473982753
2020-12-01,billetera digital,PE,8,0.241559941010074
2020-12-01,criptomonedas,PE,22,-0.735819036143063
2020-12-01,fintech,PE,49,-1.54768413728351
2020-12-01,tarjeta virtual,PE,49,-0.0752376416098522
2021-01-01,Plin,CL,52,0.21356660147482
2021-01-01,criptomonedas,CL,39,0.269796934973655
2021-01-01,fintech,CL,32,-0.923821155656177
2021-01-01,tarjeta virtual,CL,59,0.950211919834224
2021-01-01,Plin,CO,87,1.52705218110435
2021-01-01,Yape,CO,13,-0.834240671707991
2021-01-01,criptomonedas,CO,31,0.0564776553194093
2021-01-01,fintech,CO,38,-1.44811257678341
2021-01-01,Plin,MX,49,0.353684059811799
2021-01-01,Yape,MX,13,-1.03725854684423
2021-01-01,criptomonedas,MX,47,0.509830467090243
2021-01-01,fintech,MX,57,-1.1140536453583
2021-01-01,pagos digitales,MX,48,0.00149476835729801
2021-01-01,tarjeta virtual,MX,61,-0.516574707122022
2021-01-01,Plin,PE,34,-0.171080726498673
2021-01-01,Yape,PE,30,-0.548134569070794
2021-01-01,billetera digital,PE,2,-0.184240632973786
2021-01-01,criptomonedas,PE,43,0.28964512968177
2021-01-01,fintech,PE,52,-1.31600756444339
2021-01-01,tarjeta virtual,PE,49,-0.0752376416098522
2021-02-01,Plin,CL,51,0.166748697848208
2021-02-01,criptomonedas,CL,62,1.33565353219899
2021-02-01,fintech,CL,29,-1.07401925000562
2021-02-01,tarjeta virtual,CL,47,0.198961340615108
2021-02-01,Plin,CO,68,0.704200053990235
2021-02-01,Yape,CO,14,-0.790092898935123
2021-02-01,criptomonedas,CO,39,0.473983360465422
2021-02-01,fintech,CO,39,-1.3659102298898
2021-02-01,Plin,MX,45,0.168933173470037
2021-02-01,Yape,MX,13,-1.03725854684423
2021-02-01,criptomonedas,MX,69,1.59145230347985
2021-02-01,fintech,MX,71,-0.00865284384744285
2021-02-01,pagos digitales,MX,36,-0.653213772139247
2021-02-01,tarjeta virtual,MX,74,0.219505468641941
2021-02-01,Plin,PE,36,-0.0691305792790556
2021-02-01,Yape,PE,37,-0.308735624801413
2021-02-01,billetera digital,PE,11,0.454460228002004
2021-02-01,criptomonedas,PE,62,1.21744604161852
2021-02-01,fintech,PE,46,-1.77936071012362
2021-02-01,tarjeta virtual,PE,51,0.00494261879188795
2021-03-01,Plin,CL,56,0.400838215981268
2021-03-01,billetera digital,CL,40,-1.1432947132741
2021-03-01,criptomonedas,CL,46,0.594188073259627
2021-03-01,fintech,CL,38,-0.623424966957286
2021-03-01,tarjeta virtual,CL,59,0.950211919834224
2021-03-01,Plin,CO,70,0.790816067370668
2021-03-01,Yape,CO,11,-0.922536217253727
2021-03-01,criptomonedas,CO,40,0.526171573608674
2021-03-01,fintech,CO,42,-1.11930318920895
2021-03-01,Plin,MX,50,0.39987178139724
2021-03-01,Yape,MX,15,-0.95119498939709
2021-03-01,criptomonedas,MX,53,0.804818240651044
2021-03-01,fintech,MX,71,-0.00865284384744285
2021-03-01,neobanco,MX,52,-0.930952775229936
2021-03-01,pagos digitales,MX,36,-0.653213772139247
2021-03-01,tarjeta virtual,MX,65,-0.290088499194649
2021-03-01,Plin,PE,32,-0.273030873718291
2021-03-01,Yape,PE,55,0.306861660462709
2021-03-01,billetera digital,PE,20,1.09316108897779
